"",brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
1293,Maruti,2015,340000,40000,Diesel,Individual,Manual,2,27.620,793.000,47.000,5.000
1294,Maruti,2014,385000,25000,Petrol,Individual,Manual,1,23.100,998.000,67.040,5.000
1295,Maruti,2017,425000,40000,Petrol,Individual,Manual,2,23.100,998.000,67.040,5.000
1296,Maruti,2020,420000,25000,Petrol,Individual,Manual,1,21.630,998.000,67.040,5.000
1297,Maruti,2014,325000,48000,Petrol,Individual,Manual,1,23.100,998.000,67.040,5.000
1298,Maruti,2015,400000,60000,Petrol,Individual,Manual,1,23.100,998.000,67.040,5.000
1299,Maruti,2015,400000,30000,Petrol,Individual,Manual,1,23.100,998.000,67.040,5.000
1301,Maruti,2016,459999,27000,Petrol,Individual,Manual,1,23.100,998.000,67.040,5.000
1302,Maruti,2015,400000,49907,Petrol,Dealer,Manual,1,21.630,998.000,67.040,5.000
1303,Maruti,2018,470000,30000,Petrol,Individual,Automatic,1,23.100,998.000,67.040,5.000
1304,Maruti,2016,400000,35000,Petrol,Individual,Automatic,1,23.100,998.000,67.040,5.000
1305,Maruti,2016,350000,17000,Petrol,Individual,Automatic,1,23.100,998.000,67.040,5.000
1306,Maruti,2017,484999,10000,Petrol,Dealer,Manual,1,23.100,998.000,67.040,5.000
1308,Maruti,2018,475000,30000,Petrol,Individual,Manual,1,21.630,998.000,67.040,5.000
1310,Maruti,2017,421000,59500,Petrol,Individual,Manual,2,23.100,998.000,67.040,5.000
1311,Maruti,2017,483000,15000,Petrol,Individual,Manual,1,23.100,998.000,67.040,5.000
1312,Maruti,2014,415000,46000,Petrol,Dealer,Manual,1,21.630,998.000,67.040,5.000
1314,Maruti,2018,451999,30000,Petrol,Individual,Automatic,2,23.100,998.000,67.040,5.000
1315,Maruti,2016,434999,10000,Petrol,Dealer,Automatic,1,23.100,998.000,67.040,5.000
1316,Maruti,2018,545000,10000,Petrol,Dealer,Automatic,1,23.100,998.000,67.040,5.000
1317,Maruti,2018,580000,10000,Petrol,Individual,Manual,1,23.100,998.000,67.040,5.000
1318,Maruti,2017,800000,37000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1319,Maruti,2018,925000,23712,Diesel,Trustmark Dealer,Manual,1,28.090,1248.000,88.500,5.000
1321,Maruti,2017,650000,78000,Diesel,Individual,Manual,3,28.090,1248.000,88.500,5.000
1322,Maruti,2017,800000,28050,Diesel,Dealer,Manual,1,28.090,1248.000,88.500,5.000
1323,Maruti,2017,720000,60000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1325,Maruti,2018,825000,82000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1326,Maruti,2018,750000,25000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1327,Maruti,2018,889000,20000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1329,Maruti,2018,720000,25000,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1330,Maruti,2018,764000,25000,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1332,Maruti,2017,810000,80000,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1333,Maruti,2017,850000,27000,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1334,Maruti,2018,750000,40000,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1335,Maruti,2018,1000000,50000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1336,Maruti,2018,975000,36000,Diesel,Dealer,Manual,1,28.090,1248.000,88.500,5.000
1337,Maruti,2019,1025000,32000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1339,Maruti,2015,685000,30000,Petrol,Individual,Automatic,1,19.120,1373.000,91.100,5.000
1340,Maruti,2019,1025000,15000,Petrol,Dealer,Automatic,1,20.280,1462.000,103.250,5.000
1341,Maruti,2018,650000,22000,Petrol,Individual,Manual,2,21.560,1462.000,103.250,5.000
1343,Maruti,2017,844999,70000,Diesel,Dealer,Manual,1,28.090,1248.000,88.500,5.000
1345,Maruti,2016,750000,80000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1346,Maruti,2015,550000,29434,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1347,Maruti,2018,1000000,40000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1348,Maruti,2017,810000,47747,Diesel,Dealer,Manual,1,28.090,1248.000,88.500,5.000
1349,Maruti,2016,700000,70000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1350,Maruti,2014,459999,145000,Diesel,Individual,Manual,2,26.210,1248.000,88.500,5.000
1351,Maruti,2015,625000,90000,Diesel,Individual,Manual,1,26.210,1248.000,88.500,5.000
1352,Maruti,2015,600000,70000,Diesel,Individual,Manual,1,26.210,1248.000,88.500,5.000
1353,Maruti,2015,600000,50000,Diesel,Individual,Manual,1,26.210,1248.000,88.500,5.000
1354,Maruti,2015,650000,84000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1355,Maruti,2016,640000,40000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1356,Maruti,2015,550000,50000,Diesel,Dealer,Manual,2,28.090,1248.000,88.500,5.000
1357,Maruti,2016,620000,90000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1358,Maruti,2017,750000,60000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1359,Maruti,2015,650000,26000,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1360,Maruti,2015,535000,40000,Diesel,Dealer,Manual,1,26.210,1248.000,88.500,5.000
1361,Maruti,2015,600000,120000,Diesel,Individual,Manual,2,26.210,1248.000,88.500,5.000
1363,Maruti,2015,700000,60000,Diesel,Individual,Manual,1,26.210,1248.000,88.500,5.000
1364,Maruti,2015,730000,70000,Diesel,Individual,Manual,1,26.210,1248.000,88.500,5.000
1365,Maruti,2014,560000,90000,Diesel,Individual,Manual,2,26.210,1248.000,88.500,5.000
1366,Maruti,2015,600000,110000,Diesel,Individual,Manual,1,26.210,1248.000,88.500,5.000
1367,Maruti,2015,600000,60000,Diesel,Individual,Manual,3,26.210,1248.000,88.500,5.000
1368,Maruti,2015,630000,70000,Diesel,Individual,Manual,1,26.210,1248.000,88.500,5.000
1369,Maruti,2016,650000,81000,Diesel,Dealer,Manual,2,28.090,1248.000,88.500,5.000
1370,Maruti,2015,550000,40000,Diesel,Individual,Manual,3,28.090,1248.000,88.500,5.000
1371,Maruti,2017,650000,60000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1372,Maruti,2017,750000,53000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1373,Maruti,2017,900000,65000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1374,Maruti,2015,630000,70000,Diesel,Individual,Manual,2,28.090,1248.000,88.500,5.000
1375,Maruti,2017,860000,80000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1377,Maruti,2016,715000,70000,Diesel,Individual,Manual,2,28.090,1248.000,88.500,5.000
1378,Maruti,2016,795000,90000,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1380,Maruti,2018,850000,64000,Petrol,Dealer,Manual,1,20.650,1462.000,103.250,5.000
1381,Maruti,2018,950000,7500,Diesel,Individual,Manual,1,28.090,1248.000,88.500,5.000
1382,Maruti,2016,700000,20000,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1383,Maruti,2016,590000,40000,Petrol,Individual,Manual,2,20.730,1373.000,91.100,5.000
1384,Maruti,2015,610000,33000,Petrol,Individual,Manual,1,20.730,1373.000,91.100,5.000
1386,Honda,2004,50000,62000,Petrol,Individual,Manual,2,13.000,1343.000,90.000,5.000
1387,Honda,2005,55000,130000,Petrol,Individual,Manual,1,13.000,1343.000,90.000,5.000
1388,Honda,2004,135000,120000,Petrol,Individual,Manual,2,13.000,1343.000,90.000,5.000
1389,Honda,2008,229999,120000,Petrol,Individual,Manual,2,17.000,1497.000,118.000,5.000
1390,Honda,2009,350000,35000,Petrol,Individual,Manual,1,17.000,1497.000,118.000,5.000
1391,Honda,2011,450000,50000,Petrol,Individual,Manual,1,17.000,1497.000,118.000,5.000
1392,Honda,2005,100000,120000,Petrol,Individual,Manual,2,13.000,1493.000,100.000,5.000
1393,Honda,2002,81000,161000,Petrol,Individual,Manual,4,13.000,1493.000,100.000,5.000
1394,Honda,2005,75000,120000,Petrol,Individual,Manual,1,13.000,1493.000,100.000,5.000
1395,Honda,2004,198000,110000,Petrol,Individual,Manual,3,12.800,1493.000,100.000,5.000
1398,Honda,2010,350000,120000,Petrol,Individual,Manual,2,17.000,1497.000,118.000,5.000
1399,Honda,2009,345000,47000,Petrol,Individual,Manual,2,17.000,1497.000,118.000,5.000
1400,Honda,2009,250000,68600,Petrol,Individual,Manual,3,17.000,1497.000,118.000,5.000
1401,Honda,2009,290000,110000,Petrol,Individual,Manual,3,17.000,1497.000,118.000,5.000
1402,Honda,2011,421000,105000,Petrol,Individual,Manual,1,17.000,1497.000,118.000,5.000
1403,Honda,2011,450000,80000,Petrol,Individual,Manual,3,17.000,1497.000,118.000,5.000
1404,Honda,2010,360000,98000,Petrol,Individual,Manual,3,17.000,1497.000,118.000,5.000
1405,Honda,2017,675000,49523,Petrol,Dealer,Manual,1,17.000,1497.000,118.000,5.000
1406,Honda,2010,321000,60000,Petrol,Individual,Automatic,2,16.800,1497.000,118.000,5.000
1407,Honda,2010,800000,25000,Petrol,Individual,Automatic,1,16.800,1497.000,118.000,5.000
1408,Honda,2011,375000,90000,Petrol,Individual,Manual,2,17.000,1497.000,118.000,5.000
1409,Honda,2010,350000,110000,Petrol,Individual,Manual,3,17.000,1497.000,118.000,5.000
1410,Honda,2009,350000,54290,Petrol,Dealer,Manual,1,17.000,1497.000,118.000,5.000
1411,Honda,2011,350000,93500,Petrol,Dealer,Manual,3,17.000,1497.000,118.000,5.000
1412,Honda,2010,300000,100000,Petrol,Individual,Manual,3,17.000,1497.000,118.000,5.000
1413,Honda,2011,500000,35000,Petrol,Individual,Manual,1,17.000,1497.000,118.000,5.000
1414,Honda,2010,380000,85000,Petrol,Individual,Manual,2,17.000,1497.000,118.000,5.000
1415,Honda,2013,475000,55000,Petrol,Dealer,Manual,2,17.000,1497.000,118.000,5.000
1416,Honda,2010,310000,91000,Petrol,Individual,Manual,2,17.000,1497.000,118.000,5.000
1417,Honda,2016,825000,21446,Petrol,Dealer,Manual,1,16.800,1497.000,116.300,5.000
1418,Honda,2006,158000,140000,Petrol,Individual,Manual,3,17.700,1497.000,78.000,5.000
1419,Honda,2008,215000,110000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1420,Honda,2008,105000,110000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1421,Honda,2007,138000,120000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1422,Honda,2007,170000,110000,Petrol,Individual,Manual,3,17.700,1497.000,78.000,5.000
1423,Honda,2007,220000,70000,Petrol,Individual,Manual,1,17.700,1497.000,78.000,5.000
1424,Honda,2006,150000,140000,Petrol,Individual,Manual,3,17.700,1497.000,78.000,5.000
1425,Honda,2008,150000,70000,Petrol,Individual,Manual,3,17.700,1497.000,78.000,5.000
1426,Honda,2006,165000,110000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1427,Honda,2006,93150,80000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1428,Honda,2008,250000,120000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1429,Honda,2006,270000,70000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1430,Honda,2008,200000,110000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1431,Honda,2007,210000,140000,Petrol,Individual,Manual,1,17.700,1497.000,78.000,5.000
1432,Honda,2006,200000,100000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1433,Honda,2006,220000,100000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1434,Honda,2006,180000,120000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1435,Honda,2007,210000,120000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1436,Honda,2006,200000,178500,Petrol,Individual,Manual,3,17.700,1497.000,78.000,5.000
1437,Honda,2008,155000,120000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1438,Honda,2008,250000,100000,Petrol,Individual,Manual,1,17.700,1497.000,78.000,5.000
1439,Honda,2007,160000,120000,Petrol,Individual,Manual,3,17.700,1497.000,78.000,5.000
1440,Honda,2008,185000,110000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1441,Honda,2007,229999,60000,Petrol,Individual,Manual,3,17.700,1497.000,78.000,5.000
1442,Honda,2008,280000,75000,Petrol,Individual,Manual,1,17.700,1497.000,78.000,5.000
1443,Honda,2008,240000,90000,Petrol,Individual,Manual,2,17.700,1497.000,78.000,5.000
1444,Honda,2006,150000,120000,Petrol,Individual,Manual,2,16.900,1497.000,100.000,5.000
1445,Honda,2006,150000,80000,Petrol,Individual,Manual,2,16.900,1497.000,100.000,5.000
1446,Honda,2006,160000,70000,Petrol,Individual,Manual,2,16.900,1497.000,100.000,5.000
1447,Honda,2012,540000,100000,Petrol,Individual,Manual,2,16.800,1497.000,116.300,5.000
1449,Honda,2013,465000,80000,Petrol,Individual,Manual,2,16.800,1497.000,116.300,5.000
1450,Honda,2012,560000,40000,Petrol,Individual,Manual,2,16.800,1497.000,116.300,5.000
1451,Honda,2015,650000,80000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1452,Honda,2015,500000,100000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1453,Honda,2016,765000,80000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1454,Honda,2015,600000,54700,Diesel,Dealer,Manual,1,26.000,1498.000,98.600,5.000
1455,Honda,2014,550000,110000,Diesel,Individual,Manual,2,26.000,1498.000,98.600,5.000
1456,Honda,2015,615000,120000,Diesel,Individual,Manual,2,26.000,1498.000,98.600,5.000
1457,Honda,2015,600000,70000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1458,Honda,2016,670000,60000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1459,Honda,2014,580000,97000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1460,Honda,2014,600000,90000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1461,Honda,2014,625000,90000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1462,Honda,2016,700000,110000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1463,Honda,2014,500000,110000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1464,Honda,2015,625000,30000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1465,Honda,2016,802999,50856,Diesel,Dealer,Manual,1,26.000,1498.000,98.600,5.000
1466,Honda,2017,650000,47000,Diesel,Individual,Manual,2,26.000,1498.000,98.600,5.000
1467,Honda,2015,725000,50000,Diesel,Individual,Manual,2,26.000,1498.000,98.600,5.000
1468,Honda,2014,560000,72000,Diesel,Dealer,Manual,1,26.000,1498.000,98.600,5.000
1470,Honda,2015,611000,80000,Diesel,Individual,Manual,2,26.000,1498.000,98.600,5.000
1471,Honda,2014,600000,70000,Diesel,Individual,Manual,1,26.000,1498.000,98.600,5.000
1472,Honda,2014,560000,100000,Diesel,Individual,Manual,2,26.000,1498.000,98.600,5.000
1473,Honda,2015,600000,128000,Diesel,Dealer,Manual,1,26.000,1498.000,98.600,5.000
1474,Honda,2014,640000,120000,Diesel,Individual,Manual,2,26.000,1498.000,98.600,5.000
1475,Honda,2015,630000,135000,Diesel,Individual,Manual,1,25.100,1498.000,98.600,5.000
1476,Honda,2015,760000,70000,Diesel,Individual,Manual,3,25.100,1498.000,98.600,5.000
1477,Honda,2014,819999,200000,Diesel,Individual,Manual,1,25.100,1498.000,98.600,5.000
1478,Honda,2014,630000,56000,Diesel,Individual,Manual,2,25.100,1498.000,98.600,5.000
1479,Honda,2015,670000,60000,Diesel,Individual,Manual,1,25.100,1498.000,98.600,5.000
1480,Honda,2015,800000,90000,Diesel,Individual,Manual,2,25.100,1498.000,98.600,5.000
1481,Honda,2014,600000,160000,Diesel,Individual,Manual,1,25.100,1498.000,98.600,5.000
1482,Honda,2015,700000,140000,Diesel,Individual,Manual,2,25.100,1498.000,98.600,5.000
1483,Honda,2014,650000,140000,Diesel,Individual,Manual,1,25.100,1498.000,98.600,5.000
1484,Honda,2015,635000,173000,Diesel,Individual,Manual,1,25.100,1498.000,98.600,5.000
1485,Honda,2016,750000,86000,Diesel,Individual,Manual,3,26.000,1498.000,98.600,5.000
1486,Honda,2014,750000,80000,Diesel,Individual,Manual,2,25.100,1498.000,98.600,5.000
1487,Honda,2016,1000000,50000,Diesel,Individual,Manual,2,26.000,1498.000,98.600,5.000
1488,Honda,2014,650000,167000,Diesel,Individual,Manual,1,25.100,1498.000,98.600,5.000
1489,Honda,2015,750000,160000,Diesel,Individual,Manual,1,25.100,1498.000,98.600,5.000
1490,Honda,2016,750000,50000,Petrol,Individual,Automatic,1,18.000,1497.000,117.300,5.000
1491,Honda,2014,635000,79011,Petrol,Trustmark Dealer,Automatic,1,18.000,1497.000,117.300,5.000
1492,Honda,2017,1100000,26000,Petrol,Individual,Automatic,1,18.000,1497.000,117.300,5.000
1493,Honda,2015,950000,30000,Petrol,Individual,Automatic,1,18.000,1497.000,117.300,5.000
1494,Honda,2014,650000,60000,Petrol,Individual,Manual,1,17.800,1497.000,117.300,5.000
1495,Honda,2015,600000,50000,Petrol,Individual,Manual,1,17.400,1497.000,117.300,5.000
1496,Honda,2015,500000,58161,Petrol,Dealer,Manual,1,17.800,1497.000,117.300,5.000
1497,Honda,2016,575000,55161,Petrol,Dealer,Manual,1,17.800,1497.000,117.300,5.000
1498,Honda,2015,575000,9599,Petrol,Dealer,Manual,1,17.800,1497.000,117.300,5.000
1499,Honda,2017,850000,11688,Petrol,Trustmark Dealer,Manual,1,17.800,1497.000,117.300,5.000
1500,Honda,2015,700000,30000,Petrol,Individual,Manual,1,17.400,1497.000,117.300,5.000
1501,Honda,2016,675000,53201,Petrol,Trustmark Dealer,Manual,2,17.800,1497.000,117.300,5.000
1502,Honda,2017,860000,28000,Petrol,Individual,Manual,1,17.800,1497.000,117.300,5.000
1503,Honda,2015,630000,117500,Petrol,Individual,Manual,2,17.400,1497.000,117.300,5.000
1506,Honda,2015,525000,120000,Petrol,Individual,Manual,2,17.400,1497.000,117.300,5.000
1507,Honda,2017,894999,35000,Petrol,Individual,Manual,1,17.800,1497.000,117.300,5.000
1508,Honda,2015,650000,80000,Petrol,Individual,Manual,1,17.400,1497.000,117.300,5.000
1509,Honda,2016,625000,55000,Petrol,Dealer,Manual,1,17.800,1497.000,117.300,5.000
1510,Honda,2015,600000,28161,Petrol,Dealer,Manual,1,17.800,1497.000,117.300,5.000
1511,Honda,2018,925000,28900,Petrol,Dealer,Manual,1,17.800,1497.000,117.300,5.000
1512,Honda,2014,725000,120000,Petrol,Individual,Manual,1,17.400,1497.000,117.300,5.000
1513,Honda,2015,900000,22000,Petrol,Individual,Manual,1,17.400,1497.000,117.300,5.000
1514,Honda,2014,650000,56000,Petrol,Individual,Manual,1,17.400,1497.000,117.300,5.000
1515,Honda,2016,773000,65000,Petrol,Individual,Manual,1,17.800,1497.000,117.300,5.000
1516,Honda,2014,565000,56000,Petrol,Individual,Manual,2,17.400,1497.000,117.300,5.000
1517,Honda,2015,750000,40000,Petrol,Individual,Manual,1,17.400,1497.000,117.300,5.000
1518,Honda,2017,890000,18300,Petrol,Individual,Manual,1,17.800,1497.000,117.300,5.000
1520,Honda,2015,800000,50000,Petrol,Individual,Manual,1,17.400,1497.000,117.300,5.000
1521,Honda,2015,649000,39000,Petrol,Dealer,Manual,1,17.400,1497.000,117.300,5.000
1522,Honda,2016,750000,16151,Petrol,Dealer,Manual,1,17.800,1497.000,117.300,5.000
1523,Honda,2016,925000,22000,Petrol,Individual,Manual,1,17.800,1497.000,117.300,5.000
1525,Honda,2019,1200000,40000,Diesel,Individual,Manual,1,25.600,1498.000,97.900,5.000
1526,Honda,2017,1300000,30000,Diesel,Individual,Manual,1,25.600,1498.000,97.900,5.000
1527,Honda,2017,1250000,33000,Diesel,Individual,Manual,1,25.600,1498.000,97.900,5.000
1528,Honda,2017,975000,82000,Diesel,Individual,Manual,1,25.600,1498.000,97.900,5.000
1529,Honda,2018,1031000,60000,Diesel,Individual,Manual,1,25.600,1498.000,97.900,5.000
1530,Honda,2017,850000,103000,Diesel,Dealer,Manual,1,25.600,1498.000,97.900,5.000
1531,Honda,2019,1110000,10500,Diesel,Individual,Manual,1,25.600,1498.000,97.900,5.000
1532,Honda,2017,1050000,50000,Diesel,Individual,Manual,1,25.600,1498.000,97.900,5.000
1533,Honda,2017,925000,69000,Diesel,Dealer,Manual,1,25.600,1498.000,97.900,5.000
1534,Honda,2018,1085000,1000,Petrol,Individual,Automatic,1,18.000,1497.000,117.600,5.000
1535,Honda,2017,795000,41000,Petrol,Dealer,Automatic,1,18.000,1497.000,117.600,5.000
1536,Honda,2017,1150000,6825,Petrol,Individual,Automatic,1,18.000,1497.000,117.600,5.000
1537,Honda,2019,1227000,5000,Petrol,Individual,Automatic,1,18.000,1497.000,117.600,5.000
1539,Honda,2017,1100000,20000,Petrol,Individual,Automatic,1,18.000,1497.000,117.600,5.000
1540,Honda,2017,1025000,68140,Petrol,Dealer,Automatic,1,18.000,1497.000,117.600,5.000
1541,Honda,2010,350000,58544,Petrol,Dealer,Manual,2,17.400,1497.000,117.300,5.000
1542,Honda,2018,949000,10200,Petrol,Individual,Manual,1,17.400,1497.000,117.600,5.000
1543,Honda,2011,325000,40000,Petrol,Dealer,Manual,1,17.400,1497.000,117.600,5.000
1544,Honda,2017,950000,35000,Petrol,Individual,Manual,1,17.400,1497.000,117.600,5.000
1545,Honda,2017,850000,40000,Petrol,Individual,Manual,1,17.400,1497.000,117.600,5.000
1546,Honda,2018,1180000,5500,Petrol,Individual,Manual,1,17.400,1497.000,117.600,5.000
1548,Honda,2011,450000,110000,Petrol,Individual,Manual,3,16.800,1497.000,116.400,5.000
1549,Honda,2012,428000,49185,Petrol,Dealer,Manual,1,16.800,1497.000,116.400,5.000
1551,Honda,2017,875000,18000,Petrol,Dealer,Automatic,1,15.600,1497.000,116.300,5.000
1552,Honda,2010,409999,110000,Petrol,Individual,Automatic,3,15.600,1497.000,116.300,5.000
1553,Honda,2017,925000,18000,Petrol,Dealer,Automatic,1,15.600,1497.000,116.300,5.000
1554,Honda,2013,425000,86300,Petrol,Dealer,Manual,1,16.800,1497.000,116.300,5.000
1555,Honda,2013,480000,42462,Petrol,Dealer,Manual,1,16.800,1497.000,116.300,5.000
1556,Honda,2012,550000,83000,Petrol,Individual,Manual,1,16.800,1497.000,116.300,5.000
1557,Honda,2013,500000,32000,Petrol,Individual,Manual,1,16.800,1497.000,116.300,5.000
1558,Honda,2010,285000,79000,Petrol,Individual,Manual,1,16.800,1497.000,116.300,5.000
1560,Honda,2012,550000,120000,Petrol,Individual,Manual,1,16.800,1497.000,116.300,5.000
1561,Honda,2009,290000,120000,Petrol,Individual,Manual,2,16.800,1497.000,116.300,5.000
1562,Honda,2012,330000,80000,Petrol,Individual,Manual,2,16.800,1497.000,116.300,5.000
1563,Honda,2019,1300000,20000,Petrol,Individual,Automatic,1,17.400,1497.000,117.600,5.000
1564,Honda,2005,110000,100000,Petrol,Individual,Automatic,2,12.000,1493.000,100.000,5.000
1565,Honda,2006,150000,80000,Petrol,Individual,Manual,3,13.500,1799.000,130.000,5.000
1566,Honda,2007,175000,218463,Petrol,Individual,Automatic,1,12.900,1799.000,130.000,5.000
1567,Honda,2007,245000,90000,Petrol,Individual,Manual,3,13.500,1799.000,130.000,5.000
1568,Honda,2006,121000,70000,Petrol,Individual,Manual,2,13.500,1799.000,130.000,5.000
1569,Honda,2007,350000,90000,Petrol,Individual,Automatic,1,12.900,1799.000,130.000,5.000
1570,Honda,2009,250000,105000,Petrol,Individual,Automatic,2,12.900,1799.000,130.000,5.000
1571,Honda,2009,280000,40000,Petrol,Individual,Automatic,3,12.900,1799.000,130.000,5.000
1572,Honda,2008,375000,90000,Petrol,Individual,Manual,3,13.500,1799.000,130.000,5.000
1573,Honda,2009,240000,70000,Petrol,Individual,Manual,1,13.500,1799.000,130.000,5.000
1574,Honda,2009,220000,125000,Petrol,Individual,Manual,2,13.500,1799.000,130.000,5.000
1575,Honda,2008,375000,100000,Petrol,Individual,Manual,3,13.500,1799.000,130.000,5.000
1576,Honda,2011,350000,50000,Petrol,Individual,Manual,1,15.500,1799.000,132.000,5.000
1577,Honda,2008,250000,60000,Petrol,Individual,Automatic,3,20.000,1339.000,108.500,5.000
1578,Honda,2020,2125000,5500,Diesel,Dealer,Manual,1,26.800,1597.000,118.000,5.000
1580,Mercedes-Benz,2018,2550000,18000,Petrol,Dealer,Automatic,1,15.040,1991.000,183.000,5.000
1582,Ford,2013,200000,70000,Diesel,Individual,Manual,2,19.680,1399.000,67.000,5.000
1583,Ford,2014,310000,90000,Diesel,Individual,Manual,2,19.680,1399.000,67.000,5.000
1584,Ford,2014,330000,100000,Diesel,Individual,Manual,2,19.680,1399.000,67.000,5.000
1585,Ford,2014,350000,113226,Diesel,Dealer,Manual,1,19.680,1399.000,67.000,5.000
1586,Ford,2013,250000,60000,Petrol,Individual,Manual,2,14.090,1596.000,99.600,5.000
1587,Ford,2013,350000,90000,Petrol,Individual,Manual,1,14.090,1596.000,99.600,5.000
1588,Ford,2014,450000,110000,Petrol,Individual,Manual,2,14.090,1596.000,99.600,5.000
1589,Ford,2013,350000,120000,Petrol,Individual,Manual,1,14.090,1596.000,99.600,5.000
1590,Ambassador,2000,75000,90000,Diesel,Individual,Manual,2,12.800,1489.000,35.500,5.000
1591,Ambassador,1994,99000,100000,Diesel,Individual,Manual,2,12.800,1995.000,52.000,5.000
1592,Jeep,2019,1450000,22000,Petrol,Dealer,Automatic,1,16.000,1368.000,160.000,5.000
1594,Jeep,2019,2100000,5000,Petrol,Individual,Automatic,1,16.000,1368.000,160.770,5.000
1596,Jeep,2019,1520000,10000,Petrol,Individual,Manual,1,16.000,1368.000,160.000,5.000
1597,Jeep,2017,1650000,50000,Diesel,Individual,Manual,1,17.100,1956.000,170.000,5.000
1598,Jeep,2017,1515000,15000,Diesel,Individual,Manual,1,17.100,1956.000,170.000,5.000
1599,Jeep,2018,1757000,24000,Diesel,Individual,Manual,1,17.100,1956.000,170.000,5.000
1600,Jeep,2017,1550000,120000,Diesel,Individual,Manual,1,17.100,1956.000,170.000,5.000
1601,Jeep,2017,1950000,70000,Diesel,Individual,Manual,1,16.300,1956.000,170.000,5.000
1602,Jeep,2017,1800000,45000,Diesel,Individual,Manual,1,16.300,1956.000,170.000,5.000
1603,Jeep,2017,1511000,32000,Diesel,Individual,Manual,1,16.300,1956.000,170.000,5.000
1604,Jeep,2017,1325000,30000,Diesel,Individual,Manual,1,17.100,1956.000,170.000,5.000
1605,Jeep,2017,1650000,69123,Diesel,Dealer,Manual,1,17.100,1956.000,170.000,5.000
1606,Jeep,2017,1500000,12000,Diesel,Individual,Manual,1,17.100,1956.000,170.000,5.000
1607,Jeep,2017,1920000,20000,Diesel,Individual,Manual,2,16.300,1956.000,170.000,5.000
1608,Jeep,2019,2150000,25000,Diesel,Dealer,Manual,1,16.300,1956.000,170.630,5.000
1609,Jeep,2017,1550000,87500,Diesel,Individual,Manual,1,17.100,1956.000,170.000,5.000
